ID,品类,商品名,品牌,店铺名,经济体,省份,地级市,原价,快递费,是否天猫,活动价1,月销量1,累计评价1,信誉1,活动价2,月销量2,累计评价2,信誉2,活动价3,月销量3,累计评价3,信誉3,活动价4,月销量4,累计评价4,信誉4,活动价5,月销量5,累计评价5,信誉5,活动价6,月销量6,累计评价6,信誉6
577154370360,肉,牛肉,other/其他,51c7297318f7c2a1,中国大陆,四川,成都,62.0,0.0,0,26.9,37.0,100.0,553.0,26.9,56.0,129.0,1685.0,26.9,59.0,169.0,2007.0,26.9,42.0,194.0,2204.0,26.9,54.0,217.0,2422.0,26.9,62.0,191.0,2665.0
574763353930,肉,鸡胸肉,other/其他,42338cbf5ed73864,中国大陆,浙江,杭州,68.0,0.0,0,68.0,102.0,326.0,102261.0,68.0,39.0,365.0,110391.0,68.0,44.0,411.0,117551.0,68.0,33.0,413.0,120920.0,68.0,50.0,417.0,128033.0,68.0,42.0,416.0,136075.0
542641136932,肉,牛肉,古坊吴家,cf175bacf6a4d139,中国大陆,四川,南充,56.0,5.0,0,28.95,186.0,361.0,16360.0,28.95,136.0,384.0,19456.0,28.95,168.0,398.0,22477.0,28.95,33.0,373.0,23893.0,28.95,100.0,353.0,24794.0,28.95,153.0,334.0,25898.0
578337787220,肉,香肠,金磨坊,6929712c77fb6d1c,中国大陆,中国大陆,长沙,28.9,0.0,1,17.8,375.0,179.0,-1.0,17.8,499.0,318.0,-1.0,17.8,427.0,459.0,-1.0,17.8,232.0,511.0,-1.0,17.8,642.0,614.0,-1.0,16.8,1548.0,953.0,-1.0
21013731877,肉,猪肉,黄胜记,7501856cd9972897,中国大陆,中国大陆,厦门,12.5,3.0,1,9.8,152.0,292.0,-1.0,9.8,130.0,299.0,-1.0,9.8,213.0,307.0,-1.0,9.8,91.0,305.0,-1.0,9.8,217.0,294.0,-1.0,9.8,128.0,288.0,-1.0
566689427951,肉,腊猪,深山农夫,24d7e99194dbd5d9,中国大陆,湖南,邵阳,39.0,0.0,0,28.98,165.0,1240.0,46525.0,28.98,140.0,1249.0,48610.0,30.98,129.0,987.0,50546.0,27.98,35.0,668.0,51811.0,27.98,50.0,549.0,52838.0,27.98,68.0,452.0,54213.0
41704661735,肉,腌肉,皇上皇,9aeae9150dc2b0e2,中国大陆,广东,广州,65.0,5.0,1,65.0,737.0,3529.0,-1.0,65.0,1111.0,3591.0,-1.0,58.8,2074.0,3645.0,-1.0,65.0,357.0,3707.0,-1.0,65.0,556.0,3741.0,-1.0,65.0,452.0,3845.0,-1.0
18790370029,肉,烧鸡,大午,c4a7d8ae6e750c04,中国大陆,河北,保定,62.8,0.0,1,42.0,10.0,64.0,-1.0,39.9,18.0,58.0,-1.0,39.9,46.0,53.0,-1.0,39.9,14.0,58.0,-1.0,39.9,23.0,61.0,-1.0,39.9,13.0,63.0,-1.0
532995221637,肉,锁骨,DELIS/煌上煌,3fed860a0f069252,中国大陆,江西,南昌,148.8,0.0,1,69.9,324.0,71082.0,-1.0,67.9,47.0,48516.0,-1.0,69.9,75.0,39730.0,-1.0,69.9,43.0,39307.0,-1.0,69.9,49.0,33761.0,-1.0,69.9,17.0,27378.0,-1.0
44034984465,肉,凤爪,other/其他,a887950f65ba18e1,中国大陆,浙江,温州,16.8,6.0,0,16.8,613.0,348.0,81765.0,16.8,961.0,364.0,83363.0,16.8,459.0,357.0,85108.0,16.8,154.0,334.0,86493.0,15.9,391.0,324.0,88026.0,16.8,299.0,348.0,90032.0
40918174479,肉,牛肉,other/其他,f858c6e627f160ea,中国大陆,西藏自治区,拉萨,25.0,10.0,0,25.0,236.0,955.0,30712.0,25.0,197.0,964.0,31336.0,25.0,387.0,967.0,31814.0,25.0,103.0,877.0,32087.0,25.0,222.0,782.0,32433.0,25.0,212.0,700.0,32871.0
17549155033,肉,其他,母亲,9aeae9150dc2b0e2,中国大陆,浙江,湖州,19.9,5.0,1,19.9,1879.0,3364.0,-1.0,19.9,428.0,3316.0,-1.0,19.9,496.0,3281.0,-1.0,19.9,320.0,3235.0,-1.0,19.9,322.0,3164.0,-1.0,19.9,258.0,3046.0,-1.0
544130758086,肉,牛肉,WoTeam/伍田,8605112551e321a9,中国大陆,四川,成都,39.0,0.0,1,28.0,38.0,227.0,-1.0,28.0,19.0,232.0,-1.0,28.0,21.0,233.0,-1.0,28.0,10.0,228.0,-1.0,27.9,21.0,236.0,-1.0,27.9,8.0,230.0,-1.0
521216723498,肉,猪肉,金恩凡提,c9eb1a88b74c94e6,中国大陆,浙江,温州,19.9,5.0,1,19.9,129.0,130.0,-1.0,19.9,79.0,136.0,-1.0,19.9,92.0,140.0,-1.0,19.9,74.0,145.0,-1.0,19.9,102.0,159.0,-1.0,21.8,79.0,167.0,-1.0
528042922576,肉,鸡肉,口口丫,309ef0bf58670640,中国大陆,安徽,宿州,36.8,0.0,1,29.8,182.0,1152.0,-1.0,29.6,154.0,1138.0,-1.0,32.8,109.0,1103.0,-1.0,30.8,70.0,1088.0,-1.0,17.9,164.0,1056.0,-1.0,17.8,85.0,1013.0,-1.0
579477503650,肉,鸡胸肉,MUSCLE PRINCE/肌肉小王子,f0514772a35d99b3,美国,非中国大陆,非中国大陆,225.0,0.0,0,39.0,40.0,15.0,1052.0,39.0,2.0,27.0,1154.0,39.0,12.0,31.0,1239.0,39.0,6.0,36.0,1282.0,29.9,24.0,46.0,1353.0,29.9,19.0,70.0,1429.0
563432187205,肉,香肠,秋林,754c7759914af5bf,中国大陆,黑龙江,哈尔滨,26.8,1.0,0,26.8,72.0,102.0,10958.0,26.8,127.0,94.0,11840.0,26.8,188.0,93.0,12451.0,26.8,108.0,104.0,12915.0,26.8,112.0,121.0,13351.0,26.8,93.0,136.0,13758.0
