ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1300300,死神来了,加拿大,黄毅瑜,戴文·萨瓦|艾丽·拉特|科尔·史密斯|克里森·克拉克|丹尼尔·洛巴克,剧情|惊悚|恐怖|悬疑|科幻|灾难,经典,7.7,1.3087389658290258
1300303,我是谁,中国香港,陈木胜|成龙,成龙|法拉美穗|山本未来|罗恩·斯梅尔扎克|艾德·尼尔森,剧情|犯罪|喜剧|科幻|冒险|动作,搞笑|经典,7.3,1.193655505248098
1300374,绿里奇迹,美国,弗兰克·德拉邦特,汤姆·汉克斯|大卫·摩斯|迈克·克拉克·邓肯|邦尼·亨特|詹姆斯·克伦威尔,剧情|犯罪|奇幻|悬疑|科幻,感人|经典,8.7,1.4419659821090594
1300537,虎胆龙威2,美国,雷尼·哈林,布鲁斯·威利斯|邦妮·比蒂丽娅|威廉·阿瑟东|雷金纳德·维尔约翰逊|弗兰科·内罗,动作|剧情|惊悚|犯罪,经典,7.7,1.148912529307606
1300555,回到未来,美国,罗伯特·泽米吉斯,迈克尔·J·福克斯|克里斯托弗·洛伊德|莉·汤普森|克里斯平·格洛弗|托马斯·F·威尔森,剧情|奇幻|喜剧|科幻|冒险,经典,8.5,1.1737005430133103
1300613,土拨鼠之日,美国,哈罗德·雷米斯,比尔·默瑞|安迪·麦克道威尔|克里斯·艾略特|斯蒂芬·托布罗斯基|布赖恩·道尔,爱情|剧情|奇幻|喜剧|科幻,搞笑|经典|励志,8.5,1.379792061226184
1300618,空中监狱,美国,西蒙·韦斯特,尼古拉斯·凯奇|约翰·库萨克|约翰·马尔科维奇|文·瑞姆斯|科尔姆·米尼,动作|惊悚|犯罪|剧情,经典,8.1,1.345236108888623
1300656,终结者,英国,詹姆斯·卡梅隆,阿诺·施瓦辛格|迈克尔·比恩|琳达·汉密尔顿,动作|惊悚|科幻|剧情,经典,8.0,1.285633606557357
1300685,克莱默夫妇,美国,罗伯特·本顿,达斯汀·霍夫曼|梅丽尔·斯特里普|简·亚历山大|贾斯汀·亨利|霍华德·达夫,爱情|剧情,经典,8.5,1.1188040944341429
1300868,异形,英国,雷德利·斯科特,西格妮·韦弗|汤姆·斯凯里特|维罗尼卡·卡维特|哈利·戴恩·斯坦通|约翰·赫特,剧情|惊悚|恐怖|悬疑|科幻|灾难|动作,经典,8.0,1.3613435891713765
1300945,云中漫步,美国,阿方索·阿雷奥,基努·里维斯|艾塔娜·桑切斯-希洪|安东尼·奎恩|吉安卡罗·吉安尼尼,爱情|剧情,经典|文艺,7.8,1.2505351929444894
1300960,碧海蓝天,意大利,吕克·贝松,让-马克·巴尔|让·雷诺|罗姗娜·阿奎特|保罗·希纳尔|赛尔乔·卡斯特利托,爱情|剧情,经典|文艺,8.7,1.4890624217398167
1300992,完美的世界,美国,克林特·伊斯特伍德,凯文·科斯特纳|劳拉·邓恩|克林特·伊斯特伍德|T·J·劳瑟|基斯·斯扎拉巴基克,惊悚|剧情|犯罪,感人|经典,9.0,1.5003503776866671
1301061,纽约黑帮,意大利,马丁·斯科塞斯,莱昂纳多·迪卡普里奥|丹尼尔·戴-刘易斯|卡梅隆·迪亚兹|吉姆·布劳德本特|约翰·C·赖利,动作|剧情|犯罪|历史,经典|黑帮,7.4,1.3072586749842594
1301168,卧虎藏龙,中国台湾,李安,周润发|杨紫琼|章子怡|张震|郎雄,动作|爱情|武侠|剧情,经典,8.0,1.4343578635908467
1301171,偷拐抢骗,美国,盖·里奇,布拉德·皮特|本尼西奥·德尔·托罗|杰森·斯坦森|丹尼斯·法里纳|维尼·琼斯,剧情|喜剧|犯罪,搞笑|经典|黑帮,8.5,1.3754627979228171
1301345,偷天换日,美国,F·加里·格雷,马克·沃尔伯格|查理兹·塞隆|爱德华·诺顿|唐纳德·萨瑟兰|杰森·斯坦森,剧情|犯罪|惊悚|悬疑|动作,经典,7.5,1.2265695967907326
1301445,黑衣人,美国,巴里·索南菲尔德,威尔·史密斯|汤米·李·琼斯|琳达·费奥伦蒂诺|文森特·多诺费奥|雷普·汤恩,剧情|奇幻|喜剧|科幻|动作,搞笑|经典,8.0,1.2590940676513662
1301459,小岛惊魂,西班牙,亚历杭德罗·阿梅纳瓦尔,妮可·基德曼|菲奥纽拉·弗拉纳根|克里斯托弗·埃克莱斯顿|阿拉济纳·曼恩|詹姆斯·本特利,惊悚|悬疑|恐怖|剧情,经典,8.0,1.3248329073306722
1301509,修女也疯狂,美国,埃米利·阿朵里诺,乌比·戈德堡|玛吉·史密斯|凯茜·纳基麦|温迪·麦凯纳|哈威·凯特尔,剧情|犯罪|喜剧|音乐|歌舞,搞笑|经典|励志,8.0,1.2010029253735628
